,Nation,League,2019,2020,2021
Rúben Dias,Portugal,England,32000.0,30500.0,
Eric García,Spain,England,,16000.0,20000.0
Philippe Sandler,Netherlands,England,2500.0,3500.0,
Oleksandr Zinchenko,Ukraine,England,20000.0,24000.0,
Rodri,Spain,England,80000.0,64000.0,
Phil Foden,England,England,25000.0,40000.0,80000.0
Jack Harrison,England,England,4000.0,5200.0,
Ferran Torres,Spain,England,20000.0,45000.0,50000.0
Patrick Roberts,England,England,5000.0,2800.0,
Gabriel Jesus,Brazil,England,70000.0,56000.0,
Caoimhin Kelleher,Ireland,England,,,2500.0
Joe Gomez,England,England,35000.0,40000.0,
Ozan Kabak,Turkey,England,15000.0,29000.0,25000.0
Rhys Williams,England,England,,5000.0,5000.0
Nathaniel Phillips,England,England,1000.0,1000.0,
Trent Alexander-Arnold,England,England,80000.0,110000.0,75000.0
Neco Williams,Wales,England,,4000.0,8000.0
Curtis Jones,England,England,,5000.0,30000.0
Ben Woodburn,Wales,England,5000.0,4500.0,3000.0
Diogo Jota,Portugal,England,35000.0,28000.0,
Harry Wilson,Wales,England,12000.0,17500.0,
Sheyi Ojo,England,England,2000.0,1600.0,3000.0
Ethan Ampadu,Wales,England,,9000.0,15000.0
Jake Clarke-Salter,England,England,2000.0,2800.0,2000.0
Ben Chilwell,England,England,35000.0,40000.0,
Reece James,England,England,7000.0,22500.0,40000.0
Conor Gallagher,England,England,2000.0,5400.0,12000.0
Mason Mount,England,England,12000.0,40500.0,75000.0
Kai Havertz,Germany,England,90000.0,81000.0,70000.0
Charly Musonda Jr.,Belgium,England,2000.0,1000.0,
Callum Hudson-Odoi,England,England,,31500.0,35000.0
Christian Pulisic,United States,England,60000.0,60000.0,50000.0
Izzy Brown,England,England,3000.0,2000.0,
Tammy Abraham,England,England,20000.0,40000.0,40000.0
Dean Henderson,England,England,7000.0,20000.0,
Joel Pereira,Portugal,Portugal,,,
Axel Tuanzebe,England,England,7000.0,8000.0,8000.0
Brandon Williams,England,England,,11000.0,10000.0
Aaron Wan-Bissaka,England,England,35000.0,40000.0,40000.0
Scott McTominay,Scotland,England,12000.0,22500.0,
Donny van de Beek,Netherlands,England,40000.0,44000.0,
Marcus Rashford,England,England,80000.0,80000.0,85000.0
Daniel James,Wales,England,12000.0,19000.0,18000.0
Davinson Sánchez,Colombia,England,55000.0,48000.0,
Joe Rodon,Wales,England,1500.0,2000.0,10000.0
Japhet Tanganga,England,England,,7200.0,8000.0
Cameron Carter-Vickers,United States,England,1500.0,2000.0,2000.0
Sergio Reguilón,Spain,England,15000.0,25000.0,
Oliver Skipp,England,England,,7200.0,8000.0
Tanguy Ndombélé,France,England,65000.0,45000.0,
Steven Bergwijn,Netherlands,England,35000.0,28000.0,25000.0
Jack Clarke,England,England,,5400.0,5000.0
Gabriel,Brazil,England,4000.0,17500.0,25000.0
Kieran Tierney,Scotland,England,25000.0,28000.0,
Dani Ceballos,Spain,England,30000.0,32000.0,
Joe Willock,England,England,6000.0,16000.0,16000.0
Martin Ødegaard,Norway,England,15000.0,45000.0,40000.0
Emile Smith Rowe,England,England,,2700.0,13000.0
Reiss Nelson,England,England,17000.0,12500.0,10000.0
Eddie Nketiah,England,England,8000.0,15000.0,18000.0
João Virgínia,Portugal,England,,,
Ben Godfrey,England,England,6000.0,16000.0,25000.0
Mason Holgate,England,England,7000.0,18000.0,
Niels Nkounkou,France,England,,,3000.0
Tom Davies,England,England,15000.0,16000.0,16000.0
Beni Baningime,DR Congo,England,2000.0,1300.0,1000.0
Anthony Gordon,England,England,,5000.0,5000.0
Richarlison,Brazil,England,50000.0,52000.0,
Dominic Calvert-Lewin,England,England,20000.0,24000.0,
Wesley Fofana,France,England,,5400.0,30000.0
James Justin,England,England,4000.0,6000.0,17000.0
Wilfred Ndidi,Nigeria,England,35000.0,45000.0,
Youri Tielemans,Belgium,England,38000.0,44000.0,
Hamza Choudhury,England,England,5000.0,8000.0,8000.0
Harvey Barnes,England,England,12000.0,22000.0,35000.0
James Maddison,England,England,40000.0,55000.0,
Cengiz Ünder,Turkey,England,35000.0,24000.0,18000.0
Kelechi Iheanacho,Nigeria,England,12000.0,15000.0,
Max Kilman,England,England,1000.0,,
Rayan Aït Nouri,France,England,,15500.0,20000.0
Rúben Neves,Portugal,England,45000.0,50000.0,
Owen Otasowie,United States,England,,1500.0,1500.0
Morgan Gibbs-White,England,England,8000.0,7200.0,6000.0
Vitinha,Portugal,England,1500.0,1300.0,6000.0
Pedro Neto,Portugal,England,2500.0,15000.0,35000.0
Renat Dadashov,Azerbaijan,England,,,
Ezri Konsa,England,England,3500.0,9000.0,18000.0
Matty Cash,England,England,4000.0,4800.0,20000.0
Douglas Luiz,Brazil,England,2500.0,22000.0,35000.0
Jacob Ramsey,England,England,,1500.0,3500.0
Wesley,Brazil,Switzerland,,,
Keinan Davis,England,England,2000.0,2300.0,2500.0
Mohammed Salisu,Ghana,England,,12000.0,10000.0
Kyle Walker-Peters,England,England,3500.0,8000.0,
Yan Valery,France,England,7000.0,6300.0,4500.0
Ibrahima Diallo,France,England,2500.0,9000.0,15000.0
Moussa Djenepo,Mali,England,12000.0,11000.0,13000.0
Josh Sims,England,England,2000.0,1600.0,
Che Adams,Scotland,England,7000.0,12000.0,
Michael Obafemi,Ireland,England,,4500.0,3500.0
Ben White,England,England,2500.0,5500.0,28000.0
Matt Clarke,England,England,1500.0,2000.0,
Leo Östigard,Norway,England,,2500.0,2200.0
Michal Karbownik,Poland,England,,3600.0,6000.0
Tariq Lamptey,England,England,,8000.0,18000.0
Yves Bissouma,Mali,England,15000.0,9500.0,
Jakub Moder,Poland,England,,,10000.0
Steven Alzate,Colombia,England,2500.0,2300.0,7000.0
Alexis Mac Allister,Argentina,England,10000.0,11000.0,10000.0
Neal Maupay,France,England,12000.0,20000.0,
Aaron Connolly,Ireland,England,2500.0,4000.0,7000.0
Andi Zeqiri,Switzerland,England,1000.0,1500.0,2500.0
Viktor Gyökeres,Sweden,England,,1000.0,
Issa Diop,France,England,35000.0,28000.0,
Frederik Alves,Denmark,England,,,1000.0
Declan Rice,England,England,45000.0,49500.0,65000.0
Jarrod Bowen,England,England,10000.0,25000.0,
Freddie Woodman,England,England,,3200.0,
Jamal Lewis,Northern Ireland,England,5000.0,11000.0,17000.0
Sean Longstaff,England,England,7000.0,17500.0,15000.0
Allan Saint-Maximin,France,England,25000.0,28000.0,
Joelinton,Brazil,England,35000.0,20000.0,
Marek Rodak,Slovakia,England,1500.0,4000.0,
Tosin Adarabioyo,England,England,3500.0,2800.0,10000.0
Antonee Robinson,United States,England,2500.0,3500.0,7000.0
Ola Aina,Nigeria,England,10000.0,8000.0,
Steven Sessegnon,England,England,2500.0,2300.0,2000.0
Josh Onomah,England,England,3000.0,4000.0,
Ademola Lookman,England,England,20000.0,13500.0,13000.0
Josh Maja,Nigeria,England,1700.0,6300.0,6000.0
Illan Meslier,France,England,5000.0,4500.0,17000.0
